year,month,month_num,race,gender,age_group,education_level,industry,labor_force_thousands,employed_thousands,unemployed_thousands,unemployment_rate
2023,January,1,White,Male,45-54,High School,Education,4056,3939,117,2.9
2023,January,1,White,Male,45-54,High School,Retail,3904,3725,179,4.6
2023,January,1,White,Male,45-54,Some College,Healthcare,3337,3261,76,2.3
2023,January,1,White,Male,45-54,Some College,Finance,3402,3317,85,2.5
2023,January,1,White,Male,45-54,Some College,Technology,3270,3205,65,2.0
2023,January,1,White,Male,45-54,Some College,Education,3373,3293,80,2.4
2023,January,1,White,Male,45-54,Some College,Retail,3290,3175,115,3.5
2023,January,1,White,Male,45-54,Bachelor's+,Healthcare,4029,3965,64,1.6
2023,January,1,White,Male,45-54,Bachelor's+,Finance,3997,3938,59,1.5
2023,January,1,White,Male,45-54,Bachelor's+,Technology,3927,3884,43,1.1
2023,January,1,White,Male,45-54,Bachelor's+,Education,4014,3958,56,1.4
2023,January,1,White,Male,45-54,Bachelor's+,Retail,3926,3848,78,2.0
2023,January,1,White,Male,55+,Less than High School,Healthcare,2113,2037,76,3.6
2023,January,1,White,Male,55+,Less than High School,Finance,2147,2059,88,4.1
2023,January,1,White,Male,55+,Less than High School,Technology,2042,1973,69,3.4
2023,January,1,White,Male,55+,Less than High School,Education,2117,2037,80,3.8
2023,January,1,White,Male,55+,Less than High School,Retail,2050,1932,118,5.8
2023,January,1,White,Male,55+,High School,Healthcare,4211,4089,122,2.9
2023,January,1,White,Male,55+,High School,Finance,4264,4137,127,3.0
2023,January,1,White,Male,55+,High School,Technology,4115,4013,102,2.5
2023,January,1,White,Male,55+,High School,Education,4175,4063,112,2.7
2023,January,1,White,Male,55+,High School,Retail,4184,4009,175,4.2
2023,January,1,White,Male,55+,Some College,Healthcare,3530,3449,81,2.3
2023,January,1,White,Male,55+,Some College,Finance,3410,3322,88,2.6
2023,January,1,White,Male,55+,Some College,Technology,3460,3395,65,1.9
2023,January,1,White,Male,55+,Some College,Education,3441,3359,82,2.4
2023,January,1,White,Male,55+,Some College,Retail,3483,3372,111,3.2
2023,January,1,White,Male,55+,Bachelor's+,Healthcare,4137,4084,53,1.3
2023,January,1,White,Male,55+,Bachelor's+,Finance,4299,4244,55,1.3
2023,January,1,White,Male,55+,Bachelor's+,Technology,4284,4237,47,1.1
2023,January,1,White,Male,55+,Bachelor's+,Education,4080,4023,57,1.4
2023,January,1,White,Male,55+,Bachelor's+,Retail,4277,4188,89,2.1
2023,January,1,White,Female,20-24,Less than High School,Healthcare,1039,939,100,9.7
2023,January,1,White,Female,20-24,Less than High School,Finance,993,886,107,10.8
2023,January,1,White,Female,20-24,Less than High School,Technology,996,914,82,8.3
2023,January,1,White,Female,20-24,Less than High School,Education,986,888,98,10.0
2023,January,1,White,Female,20-24,Less than High School,Retail,1043,885,158,15.2
2023,January,1,White,Female,20-24,High School,Healthcare,2062,1926,136,6.6
2023,January,1,White,Female,20-24,High School,Finance,2018,1867,151,7.5
2023,January,1,White,Female,20-24,High School,Technology,2087,1960,127,6.1
2023,January,1,White,Female,20-24,High School,Education,2054,1909,145,7.1
2023,January,1,White,Female,20-24,High School,Retail,2002,1790,212,10.6
2023,January,1,White,Female,20-24,Some College,Healthcare,1697,1604,93,5.5
2023,January,1,White,Female,20-24,Some College,Finance,1714,1612,102,6.0
2023,January,1,White,Female,20-24,Some College,Technology,1698,1622,76,4.5
2023,January,1,White,Female,20-24,Some College,Education,1725,1629,96,5.6
2023,January,1,White,Female,20-24,Some College,Retail,1736,1591,145,8.4
2023,January,1,White,Female,20-24,Bachelor's+,Healthcare,1989,1932,57,2.9
2023,January,1,White,Female,20-24,Bachelor's+,Finance,2048,1979,69,3.4
2023,January,1,White,Female,20-24,Bachelor's+,Technology,1981,1930,51,2.6
2023,January,1,White,Female,20-24,Bachelor's+,Education,1996,1929,67,3.4
2023,January,1,White,Female,20-24,Bachelor's+,Retail,2042,1944,98,4.8
2023,January,1,White,Female,25-34,Less than High School,Healthcare,2037,1930,107,5.3
2023,January,1,White,Female,25-34,Less than High School,Finance,2080,1956,124,6.0
2023,January,1,White,Female,25-34,Less than High School,Technology,2053,1959,94,4.6
2023,January,1,White,Female,25-34,Less than High School,Education,2014,1902,112,5.6
2023,January,1,White,Female,25-34,Less than High School,Retail,2003,1831,172,8.6
2023,January,1,White,Female,25-34,High School,Healthcare,4116,3960,156,3.8
2023,January,1,White,Female,25-34,High School,Finance,4044,3879,165,4.1
2023,January,1,White,Female,25-34,High School,Technology,4175,4025,150,3.6
2023,January,1,White,Female,25-34,High School,Education,3985,3830,155,3.9
2023,January,1,White,Female,25-34,High School,Retail,4160,3911,249,6.0
2023,January,1,White,Female,25-34,Some College,Healthcare,3456,3346,110,3.2
2023,January,1,White,Female,25-34,Some College,Finance,3309,3197,112,3.4
2023,January,1,White,Female,25-34,Some College,Technology,3420,3321,99,2.9
2023,January,1,White,Female,25-34,Some College,Education,3477,3363,114,3.3
2023,January,1,White,Female,25-34,Some College,Retail,3279,3119,160,4.9
2023,January,1,White,Female,25-34,Bachelor's+,Healthcare,4006,3930,76,1.9
2023,January,1,White,Female,25-34,Bachelor's+,Finance,4161,4074,87,2.1
2023,January,1,White,Female,25-34,Bachelor's+,Technology,3961,3902,59,1.5
2023,January,1,White,Female,25-34,Bachelor's+,Education,4067,3998,69,1.7
2023,January,1,White,Female,25-34,Bachelor's+,Retail,4080,3970,110,2.7
2023,January,1,White,Female,35-44,Less than High School,Healthcare,1900,1817,83,4.4
2023,January,1,White,Female,35-44,Less than High School,Finance,1907,1814,93,4.9
2023,January,1,White,Female,35-44,Less than High School,Technology,1982,1907,75,3.8
2023,January,1,White,Female,35-44,Less than High School,Education,1888,1800,88,4.7
2023,January,1,White,Female,35-44,Less than High School,Retail,1909,1778,131,6.9
2023,January,1,White,Female,35-44,High School,Healthcare,3933,3819,114,2.9
2023,January,1,White,Female,35-44,High School,Finance,3815,3682,133,3.5
2023,January,1,White,Female,35-44,High School,Technology,3882,3770,112,2.9
2023,January,1,White,Female,35-44,High School,Education,3756,3633,123,3.3
2023,January,1,White,Female,35-44,High School,Retail,3959,3773,186,4.7
2023,January,1,White,Female,35-44,Some College,Healthcare,3234,3147,87,2.7
2023,January,1,White,Female,35-44,Some College,Finance,3241,3148,93,2.9
2023,January,1,White,Female,35-44,Some College,Technology,3153,3087,66,2.1
2023,January,1,White,Female,35-44,Some College,Education,3302,3217,85,2.6
2023,January,1,White,Female,35-44,Some College,Retail,3295,3164,131,4.0
2023,January,1,White,Female,35-44,Bachelor's+,Healthcare,3803,3743,60,1.6
2023,January,1,White,Female,35-44,Bachelor's+,Finance,3778,3722,56,1.5
2023,January,1,White,Female,35-44,Bachelor's+,Technology,3959,3904,55,1.4
2023,January,1,White,Female,35-44,Bachelor's+,Education,3898,3840,58,1.5
2023,January,1,White,Female,35-44,Bachelor's+,Retail,3970,3887,83,2.1
2023,January,1,White,Female,45-54,Less than High School,Healthcare,1895,1816,79,4.2
2023,January,1,White,Female,45-54,Less than High School,Finance,1885,1797,88,4.7
2023,January,1,White,Female,45-54,Less than High School,Technology,1869,1806,63,3.4
2023,January,1,White,Female,45-54,Less than High School,Education,1890,1809,81,4.3
2023,January,1,White,Female,45-54,Less than High School,Retail,1883,1759,124,6.6
2023,January,1,White,Female,45-54,High School,Healthcare,3634,3522,112,3.1
2023,January,1,White,Female,45-54,High School,Finance,3599,3477,122,3.4
2023,January,1,White,Female,45-54,High School,Technology,3765,3660,105,2.8
2023,January,1,White,Female,45-54,High School,Education,3756,3644,112,3.0
2023,January,1,White,Female,45-54,High School,Retail,3643,3476,167,4.6
2023,January,1,White,Female,45-54,Some College,Healthcare,3021,2946,75,2.5
2023,January,1,White,Female,45-54,Some College,Finance,3015,2943,72,2.4
2023,January,1,White,Female,45-54,Some College,Technology,3139,3077,62,2.0
2023,January,1,White,Female,45-54,Some College,Education,3031,2950,81,2.7
2023,January,1,White,Female,45-54,Some College,Retail,3053,2941,112,3.7
2023,January,1,White,Female,45-54,Bachelor's+,Healthcare,3694,3635,59,1.6
2023,January,1,White,Female,45-54,Bachelor's+,Finance,3601,3540,61,1.7
2023,January,1,White,Female,45-54,Bachelor's+,Technology,3615,3561,54,1.5
2023,January,1,White,Female,45-54,Bachelor's+,Education,3634,3573,61,1.7
2023,January,1,White,Female,45-54,Bachelor's+,Retail,3671,3598,73,2.0
2023,January,1,White,Female,55+,Less than High School,Healthcare,1913,1839,74,3.9
2023,January,1,White,Female,55+,Less than High School,Finance,1936,1853,83,4.3
2023,January,1,White,Female,55+,Less than High School,Technology,1944,1880,64,3.3
2023,January,1,White,Female,55+,Less than High School,Education,1959,1881,78,4.0
2023,January,1,White,Female,55+,Less than High School,Retail,1984,1867,117,5.9
2023,January,1,White,Female,55+,High School,Healthcare,3921,3812,109,2.8
2023,January,1,White,Female,55+,High School,Finance,3910,3785,125,3.2
2023,January,1,White,Female,55+,High School,Technology,3770,3680,90,2.4
2023,January,1,White,Female,55+,High School,Education,3831,3717,114,3.0
2023,January,1,White,Female,55+,High School,Retail,3951,3782,169,4.3
2023,January,1,White,Female,55+,Some College,Healthcare,3186,3113,73,2.3
2023,January,1,White,Female,55+,Some College,Finance,3207,3131,76,2.4
2023,January,1,White,Female,55+,Some College,Technology,3186,3126,60,1.9
2023,January,1,White,Female,55+,Some College,Education,3210,3140,70,2.2
2023,January,1,White,Female,55+,Some College,Retail,3259,3142,117,3.6
2023,January,1,White,Female,55+,Bachelor's+,Healthcare,3897,3839,58,1.5
2023,January,1,White,Female,55+,Bachelor's+,Finance,3881,3827,54,1.4
2023,January,1,White,Female,55+,Bachelor's+,Technology,3821,3783,38,1.0
2023,January,1,White,Female,55+,Bachelor's+,Education,3889,3835,54,1.4
2023,January,1,White,Female,55+,Bachelor's+,Retail,3862,3781,81,2.1
2023,January,1,Black,Male,20-24,Less than High School,Healthcare,177,150,27,15.5
2023,January,1,Black,Male,20-24,Less than High School,Finance,184,152,32,17.4
2023,January,1,Black,Male,20-24,Less than High School,Technology,176,152,24,13.7
2023,January,1,Black,Male,20-24,Less than High School,Education,180,151,29,16.3
2023,January,1,Black,Male,20-24,Less than High School,Retail,178,134,44,25.1
2023,January,1,Black,Male,20-24,High School,Healthcare,365,325,40,11.1
2023,January,1,Black,Male,20-24,High School,Finance,354,311,43,12.3
2023,January,1,Black,Male,20-24,High School,Technology,350,317,33,9.5
2023,January,1,Black,Male,20-24,High School,Education,359,318,41,11.5
2023,January,1,Black,Male,20-24,High School,Retail,351,289,62,17.8
2023,January,1,Black,Male,20-24,Some College,Healthcare,302,277,25,8.6
2023,January,1,Black,Male,20-24,Some College,Finance,303,274,29,9.6
2023,January,1,Black,Male,20-24,Some College,Technology,295,273,22,7.6
2023,January,1,Black,Male,20-24,Some College,Education,291,265,26,9.2
2023,January,1,Black,Male,20-24,Some College,Retail,305,263,42,14.0
2023,January,1,Black,Male,20-24,Bachelor's+,Healthcare,358,342,16,4.7
2023,January,1,Black,Male,20-24,Bachelor's+,Finance,370,351,19,5.3
2023,January,1,Black,Male,20-24,Bachelor's+,Technology,350,335,15,4.3
2023,January,1,Black,Male,20-24,Bachelor's+,Education,367,349,18,5.0
2023,January,1,Black,Male,20-24,Bachelor's+,Retail,366,338,28,7.7
2023,January,1,Black,Male,25-34,Less than High School,Healthcare,370,338,32,8.8
2023,January,1,Black,Male,25-34,Less than High School,Finance,370,334,36,9.8
2023,January,1,Black,Male,25-34,Less than High School,Technology,362,334,28,7.8
2023,January,1,Black,Male,25-34,Less than High School,Education,360,327,33,9.4
2023,January,1,Black,Male,25-34,Less than High School,Retail,361,310,51,14.2
2023,January,1,Black,Male,25-34,High School,Healthcare,731,685,46,6.4
2023,January,1,Black,Male,25-34,High School,Finance,710,662,48,6.9
2023,January,1,Black,Male,25-34,High School,Technology,726,687,39,5.4
2023,January,1,Black,Male,25-34,High School,Education,721,673,48,6.7
2023,January,1,Black,Male,25-34,High School,Retail,710,639,71,10.0
2023,January,1,Black,Male,25-34,Some College,Healthcare,592,564,28,4.8
2023,January,1,Black,Male,25-34,Some College,Finance,594,562,32,5.4
2023,January,1,Black,Male,25-34,Some College,Technology,587,562,25,4.4
2023,January,1,Black,Male,25-34,Some College,Education,607,577,30,5.1
2023,January,1,Black,Male,25-34,Some College,Retail,584,538,46,7.9
2023,January,1,Black,Male,25-34,Bachelor's+,Healthcare,722,702,20,2.8
2023,January,1,Black,Male,25-34,Bachelor's+,Finance,708,687,21,3.1
2023,January,1,Black,Male,25-34,Bachelor's+,Technology,738,720,18,2.5
2023,January,1,Black,Male,25-34,Bachelor's+,Education,729,708,21,3.0
2023,January,1,Black,Male,25-34,Bachelor's+,Retail,732,700,32,4.5
2023,January,1,Black,Male,35-44,Less than High School,Healthcare,333,310,23,7.0
2023,January,1,Black,Male,35-44,Less than High School,Finance,349,322,27,7.8
2023,January,1,Black,Male,35-44,Less than High School,Technology,353,331,22,6.3
2023,January,1,Black,Male,35-44,Less than High School,Education,349,324,25,7.4
2023,January,1,Black,Male,35-44,Less than High School,Retail,346,307,39,11.3
2023,January,1,Black,Male,35-44,High School,Healthcare,676,643,33,4.9
2023,January,1,Black,Male,35-44,High School,Finance,668,631,37,5.6
2023,January,1,Black,Male,35-44,High School,Technology,695,666,29,4.3
2023,January,1,Black,Male,35-44,High School,Education,674,639,35,5.3
2023,January,1,Black,Male,35-44,High School,Retail,672,619,53,8.0
2023,January,1,Black,Male,35-44,Some College,Healthcare,557,535,22,4.0
2023,January,1,Black,Male,35-44,Some College,Finance,575,550,25,4.4
2023,January,1,Black,Male,35-44,Some College,Technology,578,559,19,3.3
2023,January,1,Black,Male,35-44,Some College,Education,571,548,23,4.1
2023,January,1,Black,Male,35-44,Some College,Retail,569,535,34,6.1
2023,January,1,Black,Male,35-44,Bachelor's+,Healthcare,680,666,14,2.2
2023,January,1,Black,Male,35-44,Bachelor's+,Finance,682,664,18,2.7
2023,January,1,Black,Male,35-44,Bachelor's+,Technology,701,687,14,2.1
2023,January,1,Black,Male,35-44,Bachelor's+,Education,670,655,15,2.3
2023,January,1,Black,Male,35-44,Bachelor's+,Retail,689,666,23,3.4
2023,January,1,Black,Male,45-54,Less than High School,Healthcare,324,302,22,6.8
2023,January,1,Black,Male,45-54,Less than High School,Finance,333,309,24,7.5
2023,January,1,Black,Male,45-54,Less than High School,Technology,332,313,19,5.9
2023,January,1,Black,Male,45-54,Less than High School,Education,321,298,23,7.2
2023,January,1,Black,Male,45-54,Less than High School,Retail,320,287,33,10.4
2023,January,1,Black,Male,45-54,High School,Healthcare,661,631,30,4.6
2023,January,1,Black,Male,45-54,High School,Finance,644,610,34,5.3
2023,January,1,Black,Male,45-54,High School,Technology,665,638,27,4.2
2023,January,1,Black,Male,45-54,High School,Education,659,627,32,4.9
2023,January,1,Black,Male,45-54,High School,Retail,640,592,48,7.6
2023,January,1,Black,Male,45-54,Some College,Healthcare,561,540,21,3.9
2023,January,1,Black,Male,45-54,Some College,Finance,530,509,21,4.0
2023,January,1,Black,Male,45-54,Some College,Technology,551,534,17,3.2
2023,January,1,Black,Male,45-54,Some College,Education,542,520,22,4.2
2023,January,1,Black,Male,45-54,Some College,Retail,532,501,31,6.0
2023,January,1,Black,Male,45-54,Bachelor's+,Healthcare,660,646,14,2.2
2023,January,1,Black,Male,45-54,Bachelor's+,Finance,665,651,14,2.2
2023,January,1,Black,Male,45-54,Bachelor's+,Technology,659,646,13,2.1
2023,January,1,Black,Male,45-54,Bachelor's+,Education,674,660,14,2.1
2023,January,1,Black,Male,45-54,Bachelor's+,Retail,649,627,22,3.5
2023,January,1,Black,Male,55+,Less than High School,Healthcare,341,320,21,6.2
2023,January,1,Black,Male,55+,Less than High School,Finance,340,317,23,6.9
2023,January,1,Black,Male,55+,Less than High School,Technology,350,331,19,5.6
2023,January,1,Black,Male,55+,Less than High School,Education,353,331,22,6.4
2023,January,1,Black,Male,55+,Less than High School,Retail,350,315,35,10.0
2023,January,1,Black,Male,55+,High School,Healthcare,685,655,30,4.5
2023,January,1,Black,Male,55+,High School,Finance,707,672,35,5.0
2023,January,1,Black,Male,55+,High School,Technology,700,674,26,3.8
2023,January,1,Black,Male,55+,High School,Education,687,655,32,4.7
2023,January,1,Black,Male,55+,High School,Retail,697,649,48,7.0
2023,January,1,Black,Male,55+,Some College,Healthcare,585,566,19,3.4
2023,January,1,Black,Male,55+,Some College,Finance,559,537,22,4.1
2023,January,1,Black,Male,55+,Some College,Technology,564,546,18,3.3
2023,January,1,Black,Male,55+,Some College,Education,577,556,21,3.7
2023,January,1,Black,Male,55+,Some College,Retail,557,527,30,5.5
2023,January,1,Black,Male,55+,Bachelor's+,Healthcare,674,660,14,2.2
2023,January,1,Black,Male,55+,Bachelor's+,Finance,700,686,14,2.1
2023,January,1,Black,Male,55+,Bachelor's+,Technology,703,691,12,1.8
2023,January,1,Black,Male,55+,Bachelor's+,Education,678,664,14,2.2
2023,January,1,Black,Male,55+,Bachelor's+,Retail,706,685,21,3.0
2023,January,1,Black,Female,20-24,Less than High School,Healthcare,168,145,23,14.2
2023,January,1,Black,Female,20-24,Less than High School,Finance,168,141,27,16.1
2023,January,1,Black,Female,20-24,Less than High School,Technology,167,146,21,12.7
2023,January,1,Black,Female,20-24,Less than High School,Education,169,144,25,15.2
2023,January,1,Black,Female,20-24,Less than High School,Retail,163,126,37,23.0
2023,January,1,Black,Female,20-24,High School,Healthcare,328,295,33,10.2
2023,January,1,Black,Female,20-24,High School,Finance,332,295,37,11.4
2023,January,1,Black,Female,20-24,High School,Technology,331,302,29,8.9
2023,January,1,Black,Female,20-24,High School,Education,329,294,35,10.9
2023,January,1,Black,Female,20-24,High School,Retail,328,275,53,16.4
2023,January,1,Black,Female,20-24,Some College,Healthcare,270,249,21,7.9
2023,January,1,Black,Female,20-24,Some College,Finance,270,246,24,8.9
2023,January,1,Black,Female,20-24,Some College,Technology,281,262,19,7.1
2023,January,1,Black,Female,20-24,Some College,Education,272,250,22,8.4
2023,January,1,Black,Female,20-24,Some College,Retail,280,244,36,12.9
2023,January,1,Black,Female,20-24,Bachelor's+,Healthcare,333,318,15,4.7
2023,January,1,Black,Female,20-24,Bachelor's+,Finance,324,309,15,4.9
2023,January,1,Black,Female,20-24,Bachelor's+,Technology,327,315,12,3.8
2023,January,1,Black,Female,20-24,Bachelor's+,Education,322,308,14,4.6
2023,January,1,Black,Female,20-24,Bachelor's+,Retail,328,305,23,7.2
2023,January,1,Black,Female,25-34,Less than High School,Healthcare,333,306,27,8.3
2023,January,1,Black,Female,25-34,Less than High School,Finance,325,296,29,9.2
2023,January,1,Black,Female,25-34,Less than High School,Technology,332,308,24,7.3
2023,January,1,Black,Female,25-34,Less than High School,Education,334,305,29,8.7
2023,January,1,Black,Female,25-34,Less than High School,Retail,331,288,43,13.0
2023,January,1,Black,Female,25-34,High School,Healthcare,647,611,36,5.6
2023,January,1,Black,Female,25-34,High School,Finance,664,621,43,6.6
2023,January,1,Black,Female,25-34,High School,Technology,661,627,34,5.2
2023,January,1,Black,Female,25-34,High School,Education,670,631,39,5.9
2023,January,1,Black,Female,25-34,High School,Retail,651,593,58,9.0
2023,January,1,Black,Female,25-34,Some College,Healthcare,547,522,25,4.6
2023,January,1,Black,Female,25-34,Some College,Finance,541,513,28,5.3
2023,January,1,Black,Female,25-34,Some College,Technology,557,535,22,4.1
2023,January,1,Black,Female,25-34,Some College,Education,545,518,27,5.0
2023,January,1,Black,Female,25-34,Some College,Retail,552,512,40,7.3
2023,January,1,Black,Female,25-34,Bachelor's+,Healthcare,679,662,17,2.6
2023,January,1,Black,Female,25-34,Bachelor's+,Finance,657,637,20,3.1
2023,January,1,Black,Female,25-34,Bachelor's+,Technology,669,653,16,2.4
2023,January,1,Black,Female,25-34,Bachelor's+,Education,683,664,19,2.9
2023,January,1,Black,Female,25-34,Bachelor's+,Retail,653,627,26,4.0
2023,January,1,Black,Female,35-44,Less than High School,Healthcare,310,290,20,6.6
2023,January,1,Black,Female,35-44,Less than High School,Finance,309,287,22,7.2
2023,January,1,Black,Female,35-44,Less than High School,Technology,316,299,17,5.5
2023,January,1,Black,Female,35-44,Less than High School,Education,313,292,21,7.0
2023,January,1,Black,Female,35-44,Less than High School,Retail,321,288,33,10.3
2023,January,1,Black,Female,35-44,High School,Healthcare,633,604,29,4.7
2023,January,1,Black,Female,35-44,High School,Finance,651,617,34,5.3
2023,January,1,Black,Female,35-44,High School,Technology,639,613,26,4.2
2023,January,1,Black,Female,35-44,High School,Education,651,619,32,5.0
2023,January,1,Black,Female,35-44,High School,Retail,636,589,47,7.4
2023,January,1,Black,Female,35-44,Some College,Healthcare,542,522,20,3.8
2023,January,1,Black,Female,35-44,Some College,Finance,515,493,22,4.3
2023,January,1,Black,Female,35-44,Some College,Technology,523,507,16,3.1
2023,January,1,Black,Female,35-44,Some College,Education,531,510,21,4.0
2023,January,1,Black,Female,35-44,Some College,Retail,517,488,29,5.8
2023,January,1,Black,Female,35-44,Bachelor's+,Healthcare,642,628,14,2.2
2023,January,1,Black,Female,35-44,Bachelor's+,Finance,635,619,16,2.6
2023,January,1,Black,Female,35-44,Bachelor's+,Technology,619,608,11,1.9
2023,January,1,Black,Female,35-44,Bachelor's+,Education,632,619,13,2.1
2023,January,1,Black,Female,35-44,Bachelor's+,Retail,625,605,20,3.2
2023,January,1,Black,Female,45-54,Less than High School,Healthcare,310,292,18,6.0
2023,January,1,Black,Female,45-54,Less than High School,Finance,303,282,21,7.0
2023,January,1,Black,Female,45-54,Less than High School,Technology,311,294,17,5.6
2023,January,1,Black,Female,45-54,Less than High School,Education,298,279,19,6.6
2023,January,1,Black,Female,45-54,Less than High School,Retail,307,278,29,9.6
2023,January,1,Black,Female,45-54,High School,Healthcare,610,584,26,4.4
2023,January,1,Black,Female,45-54,High School,Finance,593,563,30,5.1
2023,January,1,Black,Female,45-54,High School,Technology,609,586,23,3.9
2023,January,1,Black,Female,45-54,High School,Education,589,562,27,4.6
2023,January,1,Black,Female,45-54,High School,Retail,598,557,41,6.9
2023,January,1,Black,Female,45-54,Some College,Healthcare,514,496,18,3.6
2023,January,1,Black,Female,45-54,Some College,Finance,509,490,19,3.8
2023,January,1,Black,Female,45-54,Some College,Technology,517,502,15,3.0
2023,January,1,Black,Female,45-54,Some College,Education,505,486,19,3.8
2023,January,1,Black,Female,45-54,Some College,Retail,498,471,27,5.5
2023,January,1,Black,Female,45-54,Bachelor's+,Healthcare,621,609,12,2.0
2023,January,1,Black,Female,45-54,Bachelor's+,Finance,605,592,13,2.2
